9 of 10 units, , , , ,V4e121_00, , , ,V4e122_00, , , ,V4e122_01, , , ,V4e123_00, , , ,V4e123_01, , , ,MTe080_00, , , ,MTe080_01, , , ,MTe081_00, , , ,MTe081_02, , , 
trials,task,correct,color,motion,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample,fix,cueE,cueL,sample
11,C,1,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.536999702453613,15.390000343322754,29.97100067138672,121.63899993896484,33.25199890136719,43.77899932861328,52.979000091552734,219.38999938964844,46.1870002746582,34.95399856567383,47.15299987792969,82.31700134277344,2.374000072479248,2.2699999809265137,2.246000051498413,6.855999946594238,27.865999221801758,0.039000000804662704,2.257999897003174,11.043999671936035,NaN,NaN,NaN,NaN
12,M,1,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.03799819946289,6.251999855041504,103.32599639892578,17.738000869750977,16.886999130249023,13.812999725341797,58.45600128173828,17.659000396728516,24.395999908447266,18.493000030517578,20.273000717163086,126.51599884033203,NaN,NaN,NaN,NaN,0.14900000393390656,6.474999904632568,4.271999835968018,47.731998443603516,NaN,NaN,NaN,NaN
13,C,1,7.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.423999786376953,75.18000030517578,81.59600067138672,88.91500091552734,26.20800018310547,71.427001953125,40.185001373291016,221.22999572753906,37.64099884033203,45.74599838256836,50.42100143432617,67.45500183105469,NaN,NaN,NaN,NaN,4.453999996185303,3.1600000858306885,6.922999858856201,34.63100051879883,NaN,NaN,NaN,NaN
14,C,1,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.31300354003906,9.404000282287598,13.553000450134277,93.927001953125,20.54800033569336,6.377999782562256,28.969999313354492,98.22899627685547,151.38699340820312,40.3650016784668,52.1619987487793,125.44499969482422,NaN,NaN,NaN,NaN,138.1280059814453,62.132999420166016,57.715999603271484,111.18599700927734,NaN,NaN,NaN,NaN
15,M,1,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.843999862670898,48.310001373291016,11.456000328063965,93.9020004272461,7.2179999351501465,56.84299850463867,8.541000366210938,187.1739959716797,36.992000579833984,114.6719970703125,48.96900177001953,44.4010009765625,NaN,NaN,NaN,NaN,63.249000549316406,107.2239990234375,88.78500366210938,22.625999450683594,NaN,NaN,NaN,NaN
16,M,1,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.832000732421875,37.840999603271484,65.55899810791016,64.88300323486328,10.690999984741211,21.027000427246094,13.38700008392334,44.33599853515625,47.176998138427734,51.05799865722656,38.207000732421875,140.75599670410156,NaN,NaN,NaN,NaN,35.832000732421875,44.75699996948242,6.416999816894531,65.37999725341797,NaN,NaN,NaN,NaN
17,C,1,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.459999084472656,4.561999797821045,10.3149995803833,101.98100280761719,22.951000213623047,12.789999961853027,11.130000114440918,203.4239959716797,95.81900024414062,57.21099853515625,65.64900207519531,117.41300201416016,NaN,NaN,NaN,NaN,122.63200378417969,76.86499786376953,59.41699981689453,60.29899978637695,NaN,NaN,NaN,NaN
18,M,1,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.05400085449219,6.468999862670898,2.325000047683716,88.50800323486328,10.876999855041504,3.9000000953674316,7.210999965667725,78.83699798583984,21.209999084472656,65.9010009765625,50.04899978637695,74.98400115966797,NaN,NaN,NaN,NaN,44.2140007019043,58.74599838256836,52.13100051879883,49.14500045776367,NaN,NaN,NaN,NaN
19,C,1,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.334999084472656,36.62799835205078,53.74100112915039,123.55999755859375,35.45899963378906,7.315999984741211,50.57500076293945,157.91799926757812,26.11199951171875,30.961000442504883,26.648000717163086,153.0989990234375,2.2669999599456787,0.0,0.12700000405311584,44.573001861572266,19.01300048828125,6.322000026702881,6.598999977111816,73.83499908447266,NaN,NaN,NaN,NaN
20,M,1,2.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.830999851226807,89.93800354003906,18.110000610351562,18.916000366210938,2.5439999103546143,32.94499969482422,6.176000118255615,15.72700023651123,50.4379997253418,111.3280029296875,124.1510009765625,103.25700378417969,NaN,NaN,NaN,NaN,58.96099853515625,83.74199676513672,80.80699920654297,62.1609992980957,NaN,NaN,NaN,NaN
