9 of 10 units, , , ,V4e121_00, ,V4e122_00, ,V4e122_01, ,V4e123_00, ,V4e123_01, ,MTe080_00, ,MTe080_01, ,MTe081_00, ,MTe081_02, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
49,M,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.954999923706055,29.8439998626709,NaN,NaN,4.848999977111816,26.975000381469727,NaN,NaN
50,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,M,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,2.2809998989105225,4.249000072479248,0.05000000074505806,0.04500000178813934,6.2779998779296875,26.44700050354004,0.0010000000474974513,1.0329999923706055,7.340000152587891,18.913000106811523,NaN,NaN
52,M,6.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.426000595092773,18.333999633789062,NaN,NaN,18.10099983215332,46.055999755859375,NaN,NaN
53,M,1.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0020000000949949026,19.302000045776367,NaN,NaN,8.713000297546387,44.12799835205078,NaN,NaN,18.54800033569336,38.81100082397461,NaN,NaN
54,M,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.22100067138672,114.94499969482422,NaN,NaN,62.733001708984375,100.0719985961914,NaN,NaN
55,M,6.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,12.519000053405762,0.05999999865889549,14.458999633789062,0.0,12.440999984741211,43.814998626708984,NaN,NaN,4.839000225067139,36.46900177001953,NaN,NaN
56,M,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.29900360107422,105.1240005493164,NaN,NaN,139.677001953125,110.87100219726562,NaN,NaN
57,M,6.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.395999908447266,15.277999877929688,NaN,NaN,51.47999954223633,9.975000381469727,NaN,NaN
58,M,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,0.01899999938905239,35.202999114990234,0.010999999940395355,55.361000061035156,46.558998107910156,149.26100158691406,NaN,NaN,65.15399932861328,130.96200561523438,NaN,NaN
59,M,2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.299999237060547,16.93600082397461,NaN,NaN,64.00199890136719,41.03499984741211,NaN,NaN
60,M,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.256999969482422,23.915000915527344,NaN,NaN,8.300000190734863,18.58799934387207,NaN,NaN
61,C,6.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,7.109000205993652,3.638000011444092,NaN,NaN,59.104000091552734,98.98500061035156,NaN,NaN,58.79899978637695,122.14299774169922,NaN,NaN
62,C,3.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.413999557495117,16.575000762939453,NaN,NaN,46.26100158691406,24.979000091552734,NaN,NaN
63,M,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.439000129699707,4.0229997634887695,2.4679999351501465,114.33499908447266,0.0989999994635582,33.92499923706055,4.436999797821045,19.775999069213867,9.041000366210938,14.980999946594238
64,C,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.07199999690055847,42.68000030517578,0.05900000035762787,58.356998443603516,46.63600158691406,28.054000854492188,NaN,NaN,102.15799713134766,17.540000915527344,NaN,NaN
65,M,7.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04800000041723251,62.737998962402344,0.003000000026077032,61.49300003051758,NaN,NaN,6.546999931335449,18.68199920654297,NaN,NaN
66,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,M,4.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,5.736999988555908,9.991999626159668,11.972999572753906,4.228000164031982,2.2920000553131104,11.904999732971191,NaN,NaN,9.357000350952148,16.621000289916992,NaN,NaN
68,C,7.0,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9149999618530273,30.292999267578125,0.0,10.517000198364258,NaN,NaN,2.259999990463257,15.437999725341797,NaN,NaN
69,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,C,1.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,9.967000007629395,38.06800079345703,20.589000701904297,43.915000915527344,0.05000000074505806,2.5399999618530273,NaN,NaN,1.8799999952316284,3.9860000610351562,NaN,NaN
72,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,C,4.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.552000045776367,82.65599822998047,NaN,NaN,5.948999881744385,64.4739990234375,NaN,NaN
74,C,2.0,6.0,NaN,NaN,NaN,NaN,NaN,NaN,7.861999988555908,3.2090001106262207,NaN,NaN,6.675000190734863,18.68400001525879,NaN,NaN,58.42100143432617,42.47700119018555,NaN,NaN
75,M,5.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12300000339746475,81.89600372314453,NaN,NaN,0.8939999938011169,52.777000427246094,2.638000011444092,24.746999740600586
76,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
