27 of 34 units, , , ,V4e044_00, ,V4e044_01, ,V4e046_00, ,V4e046_01, ,V4e047_00, ,V4e047_01, ,V4e047_02, ,V4e047_05, ,V4e047_06, ,V4e048_00, ,V4e048_04, ,V4e048_05, ,V4e048_06, ,V4e052_00, ,V4e052_01, ,V4e053_00, ,V4e054_00, ,V4e055_00, ,V4e057_00, ,MTe040_00, ,MTe042_00, ,MTe049_00, ,MTe049_02, ,MTe050_00, ,MTe050_01, ,MTe051_00, ,MTe051_01, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
20,C,3,4,13.3909997940063,58.5880012512207,NaN,NaN,96.9000015258789,263.403991699219,NaN,NaN,240.324996948242,217.462997436523,21.3729991912842,9.98600006103516,NaN,NaN,NaN,NaN,NaN,NaN,20.6989994049072,30.4340000152588,NaN,NaN,NaN,NaN,NaN,NaN,37.9269981384277,129.561004638672,8.375,18.5100002288818,58.5999984741211,44.8110008239746,6.48000001907349,36.3650016784668,37.132999420166,134.511993408203,39.0219993591309,63.0069999694824,4.07499980926514,0.13400000333786,71.3779983520508,90.5780029296875,69.3529968261719,264.263000488281,0.075000002980232,49.7709999084473,325.963989257813,421.536010742188,NaN,NaN,77.0759963989258,324.511993408203,2.26200008392334,31.5139999389648
21,C,7,2,7.09899997711182,60.3759994506836,NaN,NaN,55.7519989013672,210.684997558594,NaN,NaN,105.047996520996,234.884994506836,7.04699993133545,13.3959999084473,NaN,NaN,NaN,NaN,NaN,NaN,18.2980003356934,46.173999786377,13.4729995727539,27.5450000762939,NaN,NaN,NaN,NaN,69.8290023803711,111.815002441406,10.2950000762939,4.34200000762939,45.1510009765625,71.7300033569336,18.1979999542236,19.0419998168945,64.1589965820313,155.231994628906,38.5789985656738,21.2469997406006,14.1770000457764,8.50300025939941,58.4889984130859,62.9059982299805,24.4039993286133,201.869995117187,0.05799999833107,34.6829986572266,339.411987304688,463.828002929688,NaN,NaN,28.7350006103516,254.292007446289,4.35200023651123,15.6949996948242
22,C,2,1,86.3619995117188,59.1380004882813,NaN,NaN,129.945999145508,150.389007568359,NaN,NaN,200.677993774414,282.372009277344,0,0,NaN,NaN,NaN,NaN,NaN,NaN,18.1620006561279,52.3779983520508,19.0860004425049,17.7399997711182,NaN,NaN,NaN,NaN,75.4120025634766,122.741996765137,24.3419990539551,39.6419982910156,53.4469985961914,53.7130012512207,16.0540008544922,29.1410007476807,49.0849990844727,117.008003234863,52.5139999389648,121.305999755859,8.61999988555908,7.69999980926514,47.5820007324219,29.4669990539551,74.1439971923828,50.2830009460449,NaN,NaN,346.976989746094,510.092987060547,NaN,NaN,156.246002197266,220.779998779297,0,0
23,M,6,6,25.0669994354248,15.9469995498657,NaN,NaN,78.7600021362305,319.214996337891,NaN,NaN,122.123001098633,189.09700012207,0,0.971000015735626,NaN,NaN,NaN,NaN,NaN,NaN,12.6719999313355,63.1220016479492,24.5170001983643,60.2220001220703,NaN,NaN,NaN,NaN,70.8280029296875,28.7000007629395,25.2900009155273,16.6009998321533,101.286003112793,90.0410003662109,43.2010002136231,25.9069995880127,40.9420013427734,56.132999420166,41.2299995422363,56.0460014343262,14.7069997787476,8.0620002746582,63.1790008544922,59.5740013122559,47.1150016784668,299.130004882812,2.27900004386902,58.0909996032715,386.148010253906,489.743011474609,NaN,NaN,54.3440017700195,261.359985351562,9.70400047302246,27.5209999084473
24,C,6,2,4.58300018310547,61.2309989929199,NaN,NaN,27.246000289917,207.932998657227,NaN,NaN,160.705993652344,169.960006713867,6.30299997329712,0.135000005364418,NaN,NaN,NaN,NaN,NaN,NaN,15.1190004348755,41.0950012207031,23.617000579834,24.7569999694824,NaN,NaN,NaN,NaN,38.6150016784668,111.646003723145,6.85200023651123,26.4050006866455,52.484001159668,64.3519973754883,7.16099977493286,11.1490001678467,46.5019989013672,77.9369964599609,63.9309997558594,52.5660018920898,12.2069997787476,16.0400009155273,65.7710037231445,54.851001739502,21.3169994354248,221.343002319336,NaN,NaN,312.792999267578,454.217010498047,NaN,NaN,61.935001373291,305.648010253906,8.45899963378906,18.4780006408691
25,C,2,7,8.68099975585938,74.4489974975586,NaN,NaN,24.9379997253418,228.863998413086,NaN,NaN,121.119003295898,174.539001464844,28.5219993591309,7.87900018692017,NaN,NaN,NaN,NaN,NaN,NaN,4.30700016021729,25.2080001831055,26.8129997253418,19.9570007324219,NaN,NaN,NaN,NaN,22.4939994812012,95.7529983520508,0.059000000357628,20.7859992980957,35.6300010681152,59.7509994506836,12.5640001296997,8.08600044250488,57.6959991455078,51.8380012512207,49.7729988098145,14.5220003128052,10.4020004272461,11.8959999084473,68.6039962768555,48.7589988708496,9.31599998474121,134.850006103516,NaN,NaN,323.648010253906,393.726989746094,NaN,NaN,13.5019998550415,192.059997558594,0.025000000372529,4.02500009536743
26,M,6,1,23.6509990692139,14.8959999084473,NaN,NaN,95.7819976806641,158.863006591797,NaN,NaN,164.776000976563,206.60400390625,6.19000005722046,0.045000001788139,NaN,NaN,NaN,NaN,NaN,NaN,28.1749992370605,26.9190006256103,20.5130004882812,25.253999710083,NaN,NaN,NaN,NaN,84.5820007324219,125.146003723145,12.4709997177124,8.52099990844727,127.575996398926,81.0169982910156,41.806999206543,11.5600004196167,29.1800003051758,60.5830001831055,17.7119998931885,65.3150024414063,14.8699998855591,18.443000793457,48.3429985046387,41.6539993286133,64.5019989013672,122.169998168945,NaN,NaN,434.158996582031,489.843994140625,NaN,NaN,77.4899978637695,198.503005981445,8.26799964904785,39.8230018615723
27,C,1,6,50.476001739502,25.6690006256103,NaN,NaN,121.283996582031,379.557006835938,NaN,NaN,151.783004760742,197.85400390625,15.668999671936,2.19300007820129,NaN,NaN,NaN,NaN,NaN,NaN,8.80200004577637,45.3050003051758,19.5639991760254,70.2350006103516,NaN,NaN,NaN,NaN,36.6080017089844,122.139999389648,0.74099999666214,25.1879997253418,66.1920013427734,64.8379974365234,13.7399997711182,20.7210006713867,51.1199989318848,114.249000549316,38.5270004272461,68.5970001220703,11.0120000839233,8.90499973297119,49.2840003967285,44.2449989318848,57.8919982910156,250.699996948242,NaN,NaN,357.593994140625,417.554992675781,NaN,NaN,66.3410034179688,265.436004638672,0.072999998927116,18.6119995117188
28,C,6,6,28.0540008544922,8.36299991607666,NaN,NaN,54.7849998474121,367.295989990234,NaN,NaN,78.5400009155273,176.492004394531,10.6230001449585,0.165000006556511,NaN,NaN,NaN,NaN,NaN,NaN,17.0219993591309,44.4900016784668,24.9479999542236,42.1940002441406,NaN,NaN,NaN,NaN,48.5550003051758,58.6660003662109,10.4139995574951,9.54699993133545,43.1030006408691,51.2859992980957,2.16700005531311,20.886999130249,59.3489990234375,81.875,30.3850002288818,30.3369998931885,8.17399978637695,14.5509996414185,69.3150024414063,62.0340003967285,21.9650001525879,262.141998291016,NaN,NaN,294.016998291016,429.355987548828,NaN,NaN,44.7669982910156,243.985992431641,1.93599998950958,14.5500001907349
29,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,C,4,3,18.5900001525879,38.3489990234375,NaN,NaN,130.486999511719,239.723999023437,NaN,NaN,188.408004760742,217.781005859375,9.1569995880127,7.40500020980835,NaN,NaN,NaN,NaN,NaN,NaN,28.9669990539551,41.1479988098145,26.5669994354248,21.7360000610352,NaN,NaN,NaN,NaN,32.4739990234375,102.296997070313,2.39199995994568,29.9890003204346,71.0139999389648,81.7350006103516,10.2740001678467,33.1699981689453,83.6470031738281,90.1890029907227,36.6629981994629,49.4550018310547,13.8050003051758,11.1330003738403,63.9669990539551,59.7389984130859,123.480003356934,254.761001586914,11.0640001296997,35.9700012207031,296.067993164062,465.898010253906,NaN,NaN,78.6510009765625,307.790008544922,6.31599998474121,20.0200004577637
32,C,6,1,20.451000213623,24.4419994354248,NaN,NaN,77.5640029907227,180.716003417969,NaN,NaN,163.248992919922,291.160003662109,3.08299994468689,6.42999982833862,NaN,NaN,NaN,NaN,NaN,NaN,16.5559997558594,47.0040016174316,27.443000793457,36.8110008239746,NaN,NaN,NaN,NaN,74.0869979858398,89.7030029296875,6.42199993133545,37.7299995422363,58.673999786377,35.75,8.3730001449585,11.2779998779297,57.3660011291504,63.7519989013672,48.8059997558594,75.431999206543,12.1199998855591,34.0400009155273,74.5130004882813,55.890998840332,63.1570014953613,99.0670013427734,NaN,NaN,360.4169921875,473.294006347656,NaN,NaN,65.7949981689453,236.720993041992,8.50699996948242,32.265998840332
33,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,C,7,6,43.101001739502,19.931999206543,NaN,NaN,83.1230010986328,383.882995605469,NaN,NaN,108.762001037598,189.264007568359,2.59100008010864,7.78999996185303,NaN,NaN,NaN,NaN,NaN,NaN,24.2339992523193,62.9809989929199,20.9680004119873,46.7560005187988,NaN,NaN,NaN,NaN,53.9420013427734,125.142997741699,7.69199991226196,19.2110004425049,52.6230010986328,37.6980018615723,4.65799999237061,11.53600025177,95.4359970092773,106.23999786377,35.5960006713867,42.9449996948242,6.66099977493286,15.0530004501343,54.4529991149902,75.5670013427734,33.7849998474121,274.800994873047,NaN,NaN,280.652008056641,421.970001220703,NaN,NaN,64.3249969482422,316.093994140625,12.293999671936,22.0809993743896
35,M,2,2,57.5009994506836,68.3539962768555,NaN,NaN,56.2669982910156,171.587005615234,NaN,NaN,181.548004150391,228.149993896484,21.2959995269775,23.3169994354248,NaN,NaN,NaN,NaN,NaN,NaN,24.80299949646,14.5649995803833,18.3969993591309,27.1650009155273,NaN,NaN,NaN,NaN,86.5810012817383,117.792999267578,16.9090003967285,26.8719997406006,106.333999633789,67.2760009765625,59.4140014648437,38.8129997253418,41.2410011291504,98.9219970703125,22.7900009155273,22.4130001068115,18.6219997406006,7.54199981689453,41.5429992675781,47.5110015869141,37.7649993896484,246.740997314453,0.021999999880791,58.7929992675781,404.156005859375,462.049987792969,NaN,NaN,23.1100006103516,293.252990722656,0.027000000700355,26.9629993438721
36,M,7,7,27.1709995269775,65.4739990234375,NaN,NaN,207.65299987793,290.128997802734,NaN,NaN,184.016998291016,220.656005859375,10.9739999771118,40.2729988098145,NaN,NaN,NaN,NaN,NaN,NaN,20.4780006408691,60.3870010375977,26.4099998474121,36.7239990234375,NaN,NaN,NaN,NaN,70.1070022583008,90.9010009765625,10.0010004043579,9.2519998550415,45.5690002441406,52.5779991149902,25.8659992218018,39.4790000915527,58.9970016479492,114.268997192383,32.2779998779297,21.7180004119873,15.5930004119873,27.3939990997314,70.5719985961914,54.7849998474121,142.279998779297,184.714996337891,NaN,NaN,400.584014892578,428.651000976562,NaN,NaN,133.305999755859,197.074996948242,NaN,NaN
37,C,3,4,54.7770004272461,18.5069999694824,NaN,NaN,151.511993408203,276.165008544922,NaN,NaN,185.373001098633,282.553009033203,33.4700012207031,2.40400004386902,NaN,NaN,NaN,NaN,NaN,NaN,15.1929998397827,52.9420013427734,NaN,NaN,NaN,NaN,NaN,NaN,25.3439998626709,116.008003234863,4.53800010681152,36.9690017700195,51.5270004272461,83.6449966430664,17.9370002746582,11.1909999847412,79.9160003662109,116.950996398926,43.2890014648438,66.0650024414062,11.91100025177,9.18400001525879,56.2859992980957,72.0469970703125,97.890998840332,259.68701171875,6.66800022125244,30.125,327.226013183594,471.852996826172,NaN,NaN,57.2109985351563,240.789001464844,0.057000000029802,57.7150001525879
