26 of 43 units, , , ,V4e106_00, ,V4e106_05, ,V4e106_06, ,V4e107_00, ,V4e108_00, ,V4e109_00, ,V4e109_01, ,V4e110_00, ,V4e110_03, ,V4e111_00, ,V4e111_01, ,V4e118_00, ,V4e118_01, ,V4e119_00, ,V4e120_00, ,V4e120_01, ,V4e120_02, ,V4e120_04, ,V4e121_00, ,V4e122_00, ,V4e122_03, ,V4e123_00, ,MTe099_00, ,MTe101_00, ,MTe104_00, ,MTe105_00, 
trials,task,color,motion,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample,cue,sample
21,C,7.0,7.0,78.66600036621094,105.66899871826172,NaN,NaN,NaN,NaN,8.366999626159668,14.097999572753906,5.3520002365112305,21.02400016784668,39.99399948120117,34.07099914550781,10.600000381469727,25.881000518798828,136.39500427246094,77.89800262451172,8.199999809265137,0.5170000195503235,21.02199935913086,31.054000854492188,NaN,NaN,NaN,NaN,NaN,NaN,1.562999963760376,43.178001403808594,15.944999694824219,49.939998626708984,NaN,NaN,19.384000778198242,18.85700035095215,NaN,NaN,NaN,NaN,35.5260009765625,60.12099838256836,9.519000053405762,17.22599983215332,4.480000019073486,10.387999534606934,NaN,NaN,NaN,NaN,NaN,NaN,20.423999786376953,29.031999588012695
22,M,2.0,7.0,71.24800109863281,157.41600036621094,NaN,NaN,NaN,NaN,20.125,11.604999542236328,10.210000038146973,24.256000518798828,37.65599822998047,47.691001892089844,12.616000175476074,22.01099967956543,54.11899948120117,67.3949966430664,0.01600000075995922,10.29800033569336,18.547000885009766,66.49199676513672,NaN,NaN,4.449999809265137,3.9709999561309814,NaN,NaN,34.71099853515625,42.51599884033203,19.042999267578125,3.194999933242798,NaN,NaN,13.00100040435791,14.154999732971191,NaN,NaN,NaN,NaN,34.117000579833984,51.611000061035156,11.776000022888184,13.331999778747559,5.164999961853027,13.831999778747559,NaN,NaN,NaN,NaN,NaN,NaN,26.95800018310547,10.866000175476074
23,C,7.0,1.0,61.810001373291016,95.76599884033203,NaN,NaN,NaN,NaN,10.791999816894531,6.853000164031982,16.31999969482422,17.020000457763672,19.420000076293945,33.51499938964844,2.2720000743865967,38.77199935913086,152.00399780273438,84.32499694824219,25.774999618530273,6.965000152587891,31.39699935913086,27.39699935913086,NaN,NaN,NaN,NaN,NaN,NaN,26.775999069213867,39.17100143432617,17.312000274658203,14.07800006866455,NaN,NaN,23.21500015258789,9.140999794006348,NaN,NaN,NaN,NaN,49.76100158691406,42.887001037597656,15.045999526977539,14.699999809265137,8.335000038146973,3.989000082015991,NaN,NaN,NaN,NaN,NaN,NaN,18.69099998474121,37.332000732421875
24,M,2.0,7.0,74.5979995727539,123.93699645996094,NaN,NaN,NaN,NaN,9.762999534606934,16.92099952697754,20.406999588012695,22.55699920654297,46.76100158691406,97.20600128173828,14.517000198364258,18.351999282836914,142.9739990234375,163.9219970703125,12.875,21.086999893188477,34.529998779296875,41.95600128173828,NaN,NaN,NaN,NaN,NaN,NaN,19.476999282836914,33.73500061035156,25.058000564575195,24.7810001373291,NaN,NaN,26.301000595092773,29.14299964904785,NaN,NaN,NaN,NaN,19.163000106811523,40.38800048828125,15.385000228881836,0.1459999978542328,14.604000091552734,20.80299949645996,NaN,NaN,NaN,NaN,NaN,NaN,16.70199966430664,12.175999641418457
25,C,2.0,6.0,30.645999908447266,85.49299621582031,NaN,NaN,NaN,NaN,21.166000366210938,7.9029998779296875,11.803000450134277,0.11400000005960464,43.354000091552734,44.32899856567383,4.677999973297119,39.26900100708008,126.98799896240234,127.41999816894531,10.532999992370605,3.625,28.31100082397461,13.199000358581543,NaN,NaN,NaN,NaN,NaN,NaN,26.36400032043457,43.02000045776367,21.167999267578125,20.41900062561035,NaN,NaN,21.375,15.914999961853027,NaN,NaN,NaN,NaN,42.57099914550781,23.14900016784668,22.38800048828125,4.4629998207092285,11.85200023651123,6.822999954223633,NaN,NaN,NaN,NaN,NaN,NaN,15.902000427246094,17.906999588012695
26,M,7.0,1.0,75.8489990234375,90.68299865722656,NaN,NaN,NaN,NaN,16.929000854492188,23.084999084472656,18.79400062561035,12.135000228881836,62.07400131225586,44.59000015258789,22.663000106811523,25.520999908447266,104.73200225830078,120.197998046875,4.9720001220703125,10.258999824523926,17.68000030517578,11.053999900817871,NaN,NaN,NaN,NaN,NaN,NaN,26.40999984741211,49.46699905395508,21.055999755859375,17.886999130249023,NaN,NaN,14.9399995803833,0.31299999356269836,NaN,NaN,NaN,NaN,47.87799835205078,50.62200164794922,12.470000267028809,7.190999984741211,10.88700008392334,20.5310001373291,NaN,NaN,NaN,NaN,NaN,NaN,15.494000434875488,16.22100067138672
27,-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,C,7.0,6.0,62.23099899291992,101.41699981689453,28.934999465942383,8.409000396728516,NaN,NaN,22.11400032043457,24.402000427246094,24.95599937438965,10.284000396728516,42.77199935913086,54.91299819946289,6.063000202178955,55.62900161743164,112.4229965209961,111.4010009765625,15.937000274658203,7.2829999923706055,31.538000106811523,15.803999900817871,NaN,NaN,NaN,NaN,NaN,NaN,2.3269999027252197,35.0359992980957,16.635000228881836,18.672000885009766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.281999588012695,38.86600112915039,8.78600025177002,14.170999526977539,3.062000036239624,7.966000080108643,NaN,NaN,NaN,NaN,NaN,NaN,13.802000045776367,13.093000411987305
29,M,1.0,6.0,71.64800262451172,40.51499938964844,NaN,NaN,NaN,NaN,19.429000854492188,24.42799949645996,17.437000274658203,3.9010000228881836,48.14500045776367,53.52199935913086,6.758999824523926,18.90999984741211,80.60700225830078,113.97899627685547,6.715000152587891,11.411999702453613,21.034000396728516,35.237998962402344,NaN,NaN,NaN,NaN,NaN,NaN,36.55799865722656,40.0629997253418,16.04199981689453,24.118000030517578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.940000534057617,50.452999114990234,18.099000930786133,5.550000190734863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.756999969482422,18.23699951171875
30,M,6.0,2.0,79.02300262451172,75.51499938964844,NaN,NaN,NaN,NaN,23.801000595092773,28.576000213623047,19.27899932861328,16.54599952697754,67.08100128173828,48.930999755859375,0.01899999938905239,20.31599998474121,63.21500015258789,112.59200286865234,2.313999891281128,3.9519999027252197,32.91400146484375,43.52299880981445,NaN,NaN,NaN,NaN,NaN,NaN,28.31399917602539,46.928001403808594,26.422000885009766,27.357999801635742,NaN,NaN,16.812999725341797,18.12700080871582,NaN,NaN,NaN,NaN,20.746000289916992,32.4640007019043,11.067999839782715,28.281999588012695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.035999298095703,15.946000099182129
